category,link,name,领域,CCF等级
journal,https://dblp.uni-trier.de/db/journals/tocs/index.html,TOCS,1.计算机体系结构、并行与分布计算、存储系统,A刊
journal,https://dblp.uni-trier.de/db/journals/tos/index.html,TOS,1.计算机体系结构、并行与分布计算、存储系统,A刊
journal,https://dblp.uni-trier.de/db/journals/tcad/index.html,TCAD,1.计算机体系结构、并行与分布计算、存储系统,A刊
journal,https://dblp.uni-trier.de/db/journals/tc/index.html,TC,1.计算机体系结构、并行与分布计算、存储系统,A刊
journal,https://dblp.uni-trier.de/db/journals/tpds/index.html,TPDS,1.计算机体系结构、并行与分布计算、存储系统,A刊
journal,https://dblp.uni-trier.de/db/journals/taco/index.html,TACO,1.计算机体系结构、并行与分布计算、存储系统,A刊
journal,https://dblp.uni-trier.de/db/journals/taas/index.html,TAAS,1.计算机体系结构、并行与分布计算、存储系统,B刊
journal,https://dblp.uni-trier.de/db/journals/todaes/index.html,TODAES,1.计算机体系结构、并行与分布计算、存储系统,B刊
journal,https://dblp.uni-trier.de/db/journals/tecs/index.html,TECS,1.计算机体系结构、并行与分布计算、存储系统,B刊
journal,https://dblp.uni-trier.de/db/journals/trets/index.html,TRETS,1.计算机体系结构、并行与分布计算、存储系统,B刊
journal,https://dblp.uni-trier.de/db/journals/tvlsi/index.html,TVLSI,1.计算机体系结构、并行与分布计算、存储系统,B刊
journal,https://dblp.uni-trier.de/db/journals/jpdc/index.html,JPDC,1.计算机体系结构、并行与分布计算、存储系统,B刊
journal,https://dblp.uni-trier.de/db/journals/jsa/index.html,JSA,1.计算机体系结构、并行与分布计算、存储系统,B刊
journal,https://dblp.uni-trier.de/db/journals/pc/index.html,PC,1.计算机体系结构、并行与分布计算、存储系统,B刊
journal,https://dblp.uni-trier.de/db/journals/pe/index.html,PE,1.计算机体系结构、并行与分布计算、存储系统,B刊
conference,https://dblp.uni-trier.de/db/conf/ppopp/index.html,PPoPP,1.计算机体系结构、并行与分布计算、存储系统,A会
conference,https://dblp.uni-trier.de/db/conf/fast/index.html,FAST,1.计算机体系结构、并行与分布计算、存储系统,A会
conference,https://dblp.uni-trier.de/db/conf/dac/index.html,DAC,1.计算机体系结构、并行与分布计算、存储系统,A会
conference,https://dblp.uni-trier.de/db/conf/hpca/index.html,HPCA,1.计算机体系结构、并行与分布计算、存储系统,A会
conference,https://dblp.uni-trier.de/db/conf/micro/index.html,MICRO,1.计算机体系结构、并行与分布计算、存储系统,A会
conference,https://dblp.uni-trier.de/db/conf/sc/index.html,SC,1.计算机体系结构、并行与分布计算、存储系统,A会
conference,https://dblp.uni-trier.de/db/conf/asplos/index.html,ASPLOS,1.计算机体系结构、并行与分布计算、存储系统,A会
conference,https://dblp.uni-trier.de/db/conf/isca/index.html,ISCA,1.计算机体系结构、并行与分布计算、存储系统,A会
conference,https://dblp.uni-trier.de/db/conf/usenix/index.html,USENIX,1.计算机体系结构、并行与分布计算、存储系统,A会
conference,https://dblp.uni-trier.de/db/conf/eurosys/index.html,EUROSYS,1.计算机体系结构、并行与分布计算、存储系统,A会
conference,https://dblp.uni-trier.de/db/conf/cloud/index.html,SoCC,1.计算机体系结构、并行与分布计算、存储系统,B会
conference,https://dblp.uni-trier.de/db/conf/spaa/index.html,SPAA,1.计算机体系结构、并行与分布计算、存储系统,B会
conference,https://dblp.uni-trier.de/db/conf/podc/index.html,PODC,1.计算机体系结构、并行与分布计算、存储系统,B会
conference,https://dblp.uni-trier.de/db/conf/fpga/index.html,FPGA,1.计算机体系结构、并行与分布计算、存储系统,B会
conference,https://dblp.uni-trier.de/db/conf/cgo/index.html,CGO,1.计算机体系结构、并行与分布计算、存储系统,B会
